variable_name,Turo,Mquest,is_var_att_global,attached_var,Dimensions,is_cf_compliant (1=yes 0=no)),variable optional/required (1=required 0=optional),variable_type,fillValue,att_coordinates,att_standard_name,att_long_name,att_calendar,att_units,att_axis,att_valid_min,att_valid_max,att_reference_datum,att_positive,att_ancillary_variables,att_quality_control_conventions,att_flag_values,att_flag_meanings,att_cf_role
TIME,time,,var,,,1,1,float64,999999,,time,time,gregorian,days since 1950-01-01 00:00:00 UTC,T,0,90000,,,TIME_quality_control,,,,
TIME_RAW,time,,var,,,1,1,float64,999999,,time,time_raw,gregorian,days since 1950-01-01 00:00:00 UTC,,0,90000,,,,,,,
TIME_quality_control,,,var,,,1,1,int8,-9,,time status_flag,time quality_flag,,,,0,9,,,,IMOS standard flags,0 1 2 3 4 5 6 7 8 9,No_QC_performed Good_data Probably_good_data Bad_data_that_are_potentially_correctable Bad_data Value_changed Not_used Not_used Not_used Missing_value,
LATITUDE,latitude,,var,,,1,1,float64,999999,,latitude,latitude,,degrees_north,Y,-90,90,"geographical coordinates, WGS84 projection",,LATITUDE_quality_control,,,,
LATITUDE_RAW,latitude,,var,,,1,1,float64,999999,,latitude,latitude_raw,,degrees_north,,-90,90,"geographical coordinates, WGS84 projection",,,,,,
LATITUDE_quality_control,,,var,,,1,1,int8,-9,,latitude status_flag,latitude quality_flag,,,,0,9,,,,IMOS standard flags,0 1 2 3 4 5 6 7 8 9,No_QC_performed Good_data Probably_good_data Bad_data_that_are_potentially_correctable Bad_data Value_changed Not_used Not_used Not_used Missing_value,
LONGITUDE,longitude,,var,,,1,1,float64,999999,,longitude,longitude,,degrees_east,X,-180,180,"geographical coordinates, WGS84 projection",,LONGITUDE_quality_control,,,,
LONGITUDE_RAW,longitude,,var,,,1,1,float64,999999,,longitude,longitude_raw,,degrees_east,,-180,180,"geographical coordinates, WGS84 projection",,,,,,
LONGITUDE_quality_control,,,var,,,1,1,int8,-9,,longitude status_flag,longitude quality_flag,,,,0,9,,,,IMOS standard flags,0 1 2 3 4 5 6 7 8 9,No_QC_performed Good_data Probably_good_data Bad_data_that_are_potentially_correctable Bad_data Value_changed Not_used Not_used Not_used Missing_value,
DEPTH,depth,,var,,DEPTH,1,1,float32,999999,,depth,depth,,m,Z,-5,12000,sea surface,down,DEPTH_quality_control DEPTH_uncertainty,,,,
DEPTH_uncertainty,,,var,,DEPTH,1,1,float32,999999,,depth standard_error,depth uncertainty_estimate,,m,,-5,12000,sea surface,,,,,,
DEPTH_RAW,depth,,var,,DEPTH,1,1,float32,999999,TIME LATITUDE LONGITUDE DEPTH,depth,depth_raw,,m,,-5,12000,sea surface,down,,,,,
DEPTH_quality_control,,,var,,DEPTH,1,1,int8,-9,,depth status_flag,depth quality_flag,,,,0,9,,,,IMOS standard flags,0 1 2 3 4 5 6 7 8 9,No_QC_performed Good_data Probably_good_data Bad_data_that_are_potentially_correctable Bad_data Value_changed Not_used Not_used Not_used Missing_value,
TEMP,temperature,,var,,DEPTH,1,1,float32,999999,TIME LATITUDE LONGITUDE DEPTH,sea_water_temperature,sea_water_temperature,,Celsius,,-2.5,40,,,TEMP_quality_control TEMP_uncertainty,,,,
TEMP_uncertainty,,,var,,DEPTH,1,1,float32,999999,,sea_water_temperature standard_error,sea_water_temperature uncertainty_estimate,,Celsius,,-2.5,40,,,,,,,
TEMP_RAW,temperature,,var,,DEPTH,1,1,float32,999999,TIME LATITUDE LONGITUDE DEPTH,sea_water_temperature,sea_water_temperature,,Celsius,,-2.5,40,,,,,,,
TEMP_quality_control,,,var,,DEPTH,1,1,int8,-9,,sea_water_temperature status_flag,sea_water_temperature quality_flag,,,,0,9,,,,IMOS standard flags,0 1 2 3 4 5 6 7 8 9,No_QC_performed Good_data Probably_good_data Bad_data_that_are_potentially_correctable Bad_data Value_changed Not_used Not_used Not_used Missing_value,
QC_accept_code,,,var,,DEPTH,0,0,int64,0,,,accept_code,,,, ,        ,,,,,,,
QC_reject_code,,,var,,DEPTH,0,0,int64,0,,,reject_code,,,, ,        ,,,,,,,
Institution_unique_identifier,,CSID;DBID,var,,str60,0,1,S1,          ,,,institute_unique_identifier,,,, ,        ,,,,,,,profile_id
PROBE,,,var,,,0,1,int8,0,,,probe_information,,,,,,WMO code table 1770,,,,,,
PROBE_TYPE,Code,PEQ$;PTYP;PRT$,att,PROBE,,0,1,str,          ,,,probe_type,, ,, ,        ,WMO code table 1770,,PROBE_TYPE_quality_control,,,,
PROBE_TYPE_name,,,att,PROBE,,0,1,str,          ,,,probe_type_name,,,, ,        ,WMO code table 1770,,,,,,
PROBE_TYPE_coefficient_a,,,att,PROBE,,0,1,float32,999999,,,probe_fall_rate_coefficient_a,,,,,,WMO code table 1770,,,,,,
PROBE_TYPE_coefficient_b,,,att,PROBE,,0,1,float32,999999,,,probe_fall_rate_coefficient_b,,,,,,WMO code table 1770,,,,,,
PROBE_TYPE_RAW,Code,,att,PROBE,,0,0,str,,,,probe_type_raw,,,,,,WMO code table 1770,,,,,,
PROBE_TYPE_name_RAW,,,att,PROBE,,0,0,str,,,,probe_type_name_raw,,,,,,WMO code table 1770,,,,,,
PROBE_TYPE_coefficient_a_RAW,,,att,PROBE,,0,0,float32,999999,,,probe_fall_rate_coefficient_a_raw,,,,,,WMO code table 1770,,,,,,
PROBE_TYPE_coefficient_b_RAW,,,att,PROBE,,0,0,float32,999999,,,probe_fall_rate_coefficient_b_raw,,,,,,WMO code table 1770,,,,,,
PROBE_manufacture_date_YYYY-MM-DD,BatchDate,MFD#,att,PROBE,,0,1,float64,999999,,,probe_manufacture_date,gregorian,days since 1950-01-01 00:00:00 UTC,,0,90000,,,,,,,
PROBE_serial_number,SerialNo,SER#,att,PROBE,,0,1,str,          ,,,probe_serial_number,, ,, ,        ,,,,,,,
PROBE_box_number,CaseNo,,att,PROBE,,0,0,str,          ,,,probe_box_number,, ,, ,        ,,,,,,,
PROBE_calibration_OFFSET,Offset,OFFS,att,PROBE,,0,0,float32,999999,,,calibration_offset_for_temperature_from_the_probe,, ,, ,        ,,,,,,,
PROBE_calibration_SCALE,Scale,SCAL,att,PROBE,,0,0,float32,999999,,,calibration_scale_for_temperature_from_the_probe,, ,, ,        ,,,,,,,
RECORDER,,,var,,,0,1,int8,0,,,recorder_system_information,,,,,,WMO code table 4770,,,,,,
RECORDER_TYPE,InterfaceCode,RCT$;SYST,att,RECORDER,,0,1,str,          ,,,recorder_type,,,, ,        ,WMO code table 4770,,,,,,
RECORDER_TYPE_name,,,att,RECORDER,,0,1,str,          ,,,recorder_type_name,,,, ,        ,WMO code table 4770,,,,,,
RECORDER_serial_number,HardwareSerialNo,SER1,att,RECORDER,,0,1,str,          ,,,recorder_serial_number,,,, ,        ,,,,,,,
RECORDER_software_version,ReleaseVersion,VERS,att,RECORDER,,0,1,str,          ,,,recorder_software_version,,,, ,        ,,,,,,,
RECORDER_firmware_version,FirmwareVersion,FVRS,att,RECORDER,,0,0,str,,,,recorder_firmware_version,,,,,,,,,,,,
RECORDER_hardware_version,HardwareVersion,HVRS,att,RECORDER,,0,0,str,,,,recorder_hardware_version,,,,,,,,,,,,
RECORDER_GUI_version,UIVersion,UVRS,att,RECORDER,,0,0,str,,,,recorder_GUI_version,,,,,,,,,,,,
RECORDER_system_wait_time,,WAIT,att,RECORDER,,0,0,float32,-999999,,,time_seconds_used_with_FREQ_to_calculate_depth,,,,,,,,,,,,
RECORDER_system_frequency,,FREQ,att,RECORDER,,0,0,float32,-999999,,,frequency_Hz_used_with_WAIT_to_calculate_depth,,,,,,,,,,,,
SOOP_line,,,var,,,0,1,int8,0,,,SOOP_line_information,,,,,,,,,,,,
SOOP_line_label,LineNo,TWI#,att,SOOP_line,,0,1,str,          ,,,SOOP_line_identifier,, ,, ,        ,,,,,,,
SOOP_line_description,,,att,SOOP_line,,0,1,str,          ,,,SOOP_line_description,,,, ,        ,,,,,,,
SOOP_transect_number,,,att,SOOP_line,,0,0,int8,0,,,SOOP_line_transect_repeat_number,,,,1,9999999,,,,,,,
SOOP_sequence_number,DropNo,,att,SOOP_line,,0,0,int8,0,,,SOOP_deployment_sequence_number,,,,1,9999999,,,,,,,
Ship,,,var,,,0,1,int8,0,,,Platform_vessel_information,,,,,,,,,,,,
Ship_name,Ship,SHP#,att,Ship,,0,1,str,          ,,,Deployment_vessel_name,, ,, ,        ,,,Ship_IMO Callsign Platform_code,,,,
