label,code,byte_value,tempqc,group_label,parameter
surface_transient,CSR,1,3,ACT_CODES_SINGLE_POINT,TEMP
wire_break,WBR,2,4,ACT_CODES_TO_NEXT_FLAG,TEMP
wire_stretch,WSR,4,3,ACT_CODES_TO_NEXT_FLAG,TEMP
hit_bottom,HBR,8,3,ACT_CODES_TO_NEXT_FLAG,TEMP
leakage,LER,16,3,ACT_CODES_TO_NEXT_FLAG,TEMP
electrical_interference,EIR,32,4,ACT_CODES_TO_NEXT_FLAG,TEMP
high_frequency_noise,HFR,64,4,ACT_CODES_TO_NEXT_FLAG,TEMP
no_good,NGR,128,4,ACT_CODES_TO_NEXT_FLAG,TEMP
temperature_offset,TOR,256,3,ACT_CODES_TO_NEXT_FLAG,TEMP
depth_offset,DOR,512,3,ACT_CODES_FULL_PROFILE,TEMP
constant_temperature,CTR,1024,3,ACT_CODES_TO_NEXT_FLAG,TEMP
time_error,TER,2048,3,ACT_CODES_FULL_PROFILE,TIME
position_error,PER,4096,3,ACT_CODES_FULL_PROFILE,LATITUDE LONGITUDE
duplicate_profile,DUR,8192,4,ACT_CODES_FULL_PROFILE,TEMP
test_probe,TPR,16384,4,ACT_CODES_FULL_PROFILE,TEMP
probe_type,PRR,32768,3,ACT_CODES_FULL_PROFILE,TEMP
spike,SPR,65536,4,ACT_CODES_TO_NEXT_FLAG,TEMP
insulation_penetration,IPR,131072,3,ACT_CODES_TO_NEXT_FLAG,TEMP
surface_temperature_anomaly,SAR,262144,3,ACT_CODES_FULL_PROFILE,TEMP
surface_offset,SOR,524288,3,ACT_CODES_FULL_PROFILE,TEMP
no_trace,NTR,1048576,4,ACT_CODES_FULL_PROFILE,TEMP
bowing_BathySystems,BOR,2097152,3,ACT_CODES_FULL_PROFILE,TEMP
sippicanMK_ timing_delay_driver_error,DRR,4194304,3,ACT_CODES_TO_NEXT_FLAG,TEMP
protecho_systems_leakage_fault,PFR,8388608,3,ACT_CODES_FULL_PROFILE,TEMP
contact_lost_with_probe,CLR,16777216,3,ACT_CODES_TO_NEXT_FLAG,TEMP
bathy_data_low_resolution,BDR,33554432,3,ACT_CODES_FULL_PROFILE,TEMP
